CustomerID,Recency,Frequency,Monetary,Cluster,Churn,TotalQuantity,AvgUnitPrice,AvgDiscount,AvgShippingCost,Country,PaymentMethod,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,churn_score_rf
10001,742,1,1470.7333999999998,0,0,47,32.26,0.03,23.18,Netherlands,Credit Card,Accessories,Online,Not Returned,Royal Mail,London,High,0.01
10005,251,2,2350.143,2,0,63,45.135,0.09999999999999999,26.560000000000002,Netherlands,Bank Transfer,Apparel,Online,Not Returned,FedEx,Amsterdam,Low,0.005
10008,145,1,48.827999999999996,1,1,5,12.52,0.22,22.8,Italy,paypall,Electronics,Online,Not Returned,Royal Mail,London,High,0.72
10010,693,1,2428.3584,0,0,62,42.22,0.185,25.6,United Kingdom,Credit Card,Furniture,In-store,Not Returned,DHL,Amsterdam,High,0.02
10011,853,1,634.5930000000001,0,0,46,16.23,0.15,22.45,Germany,Credit Card,Accessories,Online,Not Returned,DHL,Rome,Low,0.02
10017,92,1,2729.7359999999994,3,0,40,73.38,0.07,20.76,Portugal,paypall,Furniture,In-store,Not Returned,DHL,London,High,0.0
10018,655,1,1204.9632000000001,0,0,24,58.38,0.14,23.91,Sweden,Bank Transfer,Stationery,In-store,Not Returned,DHL,Amsterdam,Medium,0.005
10020,1295,1,614.4498,0,0,46,50.925,0.04,20.275,Norway,Bank Transfer,Electronics,Online,Not Returned,DHL,Rome,High,0.015
10022,324,1,346.44480000000004,1,1,8,55.52,0.22,11.99,Norway,Credit Card,Stationery,Online,Not Returned,DHL,Berlin,High,0.925
10023,1139,1,1410.6311999999996,0,0,49,61.315,0.37,16.795,France,Credit Card,Electronics,Online,Not Returned,DHL,London,High,0.015
10025,208,1,1234.8503999999998,3,0,18,81.67,0.16,6.93,Norway,Credit Card,Apparel,Online,Not Returned,UPS,Rome,Low,0.0
10033,1313,1,2571.52,0,0,41,98.0,0.36,6.39,United Kingdom,Bank Transfer,Stationery,In-store,Not Returned,UPS,Amsterdam,Low,0.005
10043,214,1,1519.1904,3,0,37,43.68,0.06,20.86,Belgium,Credit Card,Accessories,In-store,Not Returned,Royal Mail,London,High,0.005
10045,392,2,2389.6034,2,0,71,53.405,0.33499999999999996,19.83,Norway,Bank Transfer,Accessories,In-store,Not Returned,DHL,Berlin,Low,0.005
10050,852,1,466.12799999999993,0,0,24,32.37,0.4,13.38,Portugal,Credit Card,Furniture,In-store,Not Returned,DHL,Rome,Low,0.015
10063,1083,3,3144.216,2,0,76,54.56,0.15666666666666665,14.256666666666666,Belgium,Bank Transfer,Apparel,Online,Not Returned,DHL,London,High,0.0
10066,796,1,415.8492,0,0,38,14.03,0.22,23.1,Netherlands,Bank Transfer,Accessories,In-store,Not Returned,UPS,London,High,0.025
10067,464,2,1622.709,2,0,49,74.385,0.42000000000000004,18.835,Italy,paypall,Accessories,In-store,Not Returned,DHL,Amsterdam,Low,0.0
10068,984,1,625.8944,0,0,8,85.04,0.08,20.26,Sweden,Credit Card,Stationery,Online,Not Returned,UPS,Berlin,Medium,0.045
10076,805,1,1116.0372,0,0,19,94.74,0.38,16.55,Sweden,paypall,Apparel,Online,Not Returned,DHL,London,Medium,0.0
10084,1013,1,1952.8656,0,0,46,50.54,0.16,21.32,Spain,paypall,Apparel,Online,Not Returned,UPS,Amsterdam,Medium,0.005
10086,1102,1,3513.1007999999997,0,0,44,83.17,0.04,20.45,Spain,Credit Card,Furniture,In-store,Not Returned,Royal Mail,Berlin,High,0.0
10093,1189,1,74.3642,1,1,1,86.47,0.14,21.72,Australia,paypall,Accessories,Online,Not Returned,FedEx,Rome,Low,0.98
